Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
United States of America,Americas,37969371,11471.02,1042666,315,153132,626163,189.17,6864,2.07,1117
India,South-East Asia,32558530,2359.31,236272,17.12,46164,436365,31.62,3316,0.24,607
Brazil,Americas,20614866,9698.4,198683,93.47,30872,575742,270.86,5144,2.42,894
Russian Federation,Europe,6824540,4676.44,140009,95.94,19630,179243,122.82,5543,3.8,820
The United Kingdom,Europe,6590751,9708.56,234860,345.96,35547,132003,194.45,743,1.09,149
France,Europe,6493798,9984.41,132127,203.15,23427,112430,172.86,696,1.07,92
Turkey,Europe,6273681,7438.64,135229,160.34,19970,55212,65.46,1537,1.82,217
Argentina,Americas,5148085,11390.63,51642,114.26,8119,110806,245.17,1401,3.1,197
Colombia,Americas,4894702,9619.54,20533,40.35,2467,124388,244.46,700,1.38,73
Spain,Europe,4815205,10173.12,59730,126.19,5401,83690,176.81,362,0.76,15
Iran (Islamic Republic of),Eastern Mediterranean,4796377,5710.45,239960,285.69,39983,104022,123.85,4331,5.16,665
Italy,Europe,4502396,7549.1,45631,76.51,7539,128914,216.15,335,0.56,59
Indonesia,South-East Asia,4026837,1472.21,96537,35.29,0,129293,47.27,6660,2.43,0
Germany,Europe,3901799,4691.54,58024,69.77,12626,92082,110.72,139,0.17,21
Mexico,Americas,3249878,2520.6,126626,98.21,18262,254466,197.36,4937,3.83,940
Poland,Europe,2887485,7607.02,1406,3.7,215,75332,198.46,21,0.06,3
South Africa,Africa,2722202,4589.89,83221,140.32,13251,80469,135.68,2092,3.53,516
Ukraine,Europe,2278171,5209.18,7945,18.17,1581,53566,122.48,198,0.45,45
Peru,Americas,2143691,6501.58,7864,23.85,1126,197944,600.34,405,1.23,23
Netherlands,Europe,1926424,11066.58,17363,99.74,2863,17974,103.25,48,0.28,7
Philippines,Western Pacific,1883088,1718.44,106980,97.63,13573,32492,29.65,1869,1.71,228
Iraq,Eastern Mediterranean,1847697,4593.69,46333,115.19,7787,20410,50.74,524,1.3,73
Czechia,Europe,1678331,15694.23,1302,12.18,248,30393,284.21,11,0.1,6
Chile,Americas,1635173,8553.86,4342,22.71,399,36718,192.08,262,1.37,17
Malaysia,Western Pacific,1616244,4993.65,149732,462.62,22642,14818,45.78,1516,4.68,265
Bangladesh,South-East Asia,1482628,900.26,35418,21.51,4698,25729,15.62,851,0.52,102
Canada,Americas,1476149,3911.14,18451,48.89,2525,26849,71.14,130,0.34,35
Japan,Western Pacific,1362813,1077.52,160801,127.14,23698,15737,12.44,236,0.19,44
Belgium,Europe,1173108,10181.07,10386,90.14,3,25348,219.99,38,0.33,2
Pakistan,Eastern Mediterranean,1135858,514.21,26584,12.03,4199,25235,11.42,596,0.27,141
Thailand,South-East Asia,1120869,1605.83,131010,187.69,18501,10314,14.78,1728,2.48,229
Sweden,Europe,1120628,10850.82,6341,61.4,1278,14674,142.09,3,0.03,1
Romania,Europe,1093924,5659.54,4735,24.5,953,34471,178.34,91,0.47,17
Portugal,Europe,1025869,9963.85,16298,158.3,3062,17674,171.66,73,0.71,16
Israel,Europe,1024100,11831.73,58309,673.66,8800,6909,79.82,160,1.85,13
Kazakhstan,Europe,829924,4419.97,39719,211.53,0,12655,67.4,930,4.95,0
Morocco,Eastern Mediterranean,829137,2246.34,47040,127.44,8008,12079,32.73,734,1.99,85
Hungary,Europe,811517,8306.62,736,7.53,180,30056,307.65,10,0.1,1
Jordan,Eastern Mediterranean,792278,7765.05,5693,55.8,812,10338,101.32,86,0.84,18
Switzerland,Europe,761831,8802.6,13825,159.74,10,10410,120.28,25,0.29,0
Nepal,South-East Asia,752863,2583.89,10635,36.5,0,10612,36.42,183,0.63,0
Serbia,Europe,748693,10808.79,12380,178.73,2327,7233,104.42,50,0.72,7
United Arab Emirates,Eastern Mediterranean,712411,7203.05,7322,74.03,983,2028,20.5,19,0.19,2
Austria,Europe,675741,7591.69,8678,97.49,1618,10573,118.78,12,0.13,2
Tunisia,Eastern Mediterranean,647483,5478.5,15155,128.23,0,22860,193.42,556,4.7,0
Cuba,Americas,611163,5395.81,65888,581.71,8637,4806,42.43,566,5,96
Lebanon,Eastern Mediterranean,595522,8725.03,8937,130.94,1593,8024,117.56,31,0.45,5
Greece,Europe,570077,5318.59,22891,213.56,3265,13509,126.03,231,2.16,43
Saudi Arabia,Eastern Mediterranean,543028,1559.8,2784,8,321,8505,24.43,66,0.19,8
Georgia,Europe,532171,13340.38,30874,773.94,4128,7028,176.18,438,10.98,79
Ecuador,Americas,499196,2829.42,2554,14.48,0,32104,181.96,68,0.39,0
Bolivia (Plurinational State of),Americas,487721,4178.19,3990,34.18,590,18330,157.03,108,0.93,17
Belarus,Europe,472852,5004.08,8997,95.21,1357,3712,39.28,75,0.79,11
Paraguay,Americas,457971,6420.87,948,13.29,133,15613,218.9,140,1.96,20
Panama,Americas,453466,10509.63,4542,105.27,480,7018,162.65,48,1.11,3
Costa Rica,Americas,447672,8788.02,13591,266.8,2230,5378,105.57,109,2.14,17
Bulgaria,Europe,446698,6425.94,9371,134.81,1601,18613,267.76,202,2.91,48
Guatemala,Americas,444924,2483.45,22654,126.45,0,11552,64.48,279,1.56,0
Kuwait,Eastern Mediterranean,408797,9572.42,1421,33.27,197,2412,56.48,15,0.35,3
Sri Lanka,South-East Asia,407768,1904.28,34603,161.6,0,7948,37.12,1158,5.41,0
Azerbaijan,Europe,401828,3963.12,24524,241.87,3794,5403,53.29,195,1.92,33
Slovakia,Europe,394446,7227.1,647,11.85,161,12547,229.89,0,0,0
Uruguay,Americas,384287,11062.66,782,22.51,106,6020,173.3,13,0.37,4
Viet Nam,Western Pacific,381363,391.79,79406,81.58,12096,9349,9.6,2579,2.65,335
Myanmar,South-East Asia,380879,700.02,15120,27.79,0,14737,27.09,792,1.46,0
Croatia,Europe,371623,9157.41,3204,78.95,638,8316,204.92,22,0.54,6
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,360121,7059.24,8368,164.03,1676,3922,76.88,27,0.53,8
Dominican Republic,Americas,348566,3213.21,1873,17.27,317,4006,36.93,17,0.16,4
Ireland,Europe,342329,6895.62,12941,260.67,2051,5092,102.57,18,0.36,18
Denmark,Europe,340567,5848.89,6752,115.96,987,2571,44.15,9,0.15,3
Honduras,Americas,331372,3345.64,9697,97.9,1681,8704,87.88,208,2.1,34
Venezuela (Bolivarian Republic of),Americas,327450,1151.54,6528,22.96,928,3924,13.8,94,0.33,15
Oman,Eastern Mediterranean,301683,5907.68,955,18.7,113,4047,79.25,34,0.67,4
Libya,Eastern Mediterranean,300455,4372.61,11236,163.52,1682,4126,60.05,158,2.3,27
Ethiopia,Africa,300092,261.03,8289,7.21,2095,4593,4,88,0.08,13
Lithuania,Europe,296096,10597.22,4127,147.7,723,4513,161.52,47,1.68,8
Egypt,Eastern Mediterranean,286938,280.39,1238,1.21,203,16691,16.31,53,0.05,8
Bahrain,Eastern Mediterranean,271933,15981.25,676,39.73,130,1388,81.57,3,0.18,1
Republic of Moldova,Europe,265817,6589.48,2743,68,559,6380,158.16,52,1.29,6
Slovenia,Europe,264650,12627.27,2449,116.85,508,4770,227.59,4,0.19,0
Republic of Korea,Western Pacific,243317,474.59,12510,24.4,1882,2257,4.4,66,0.13,20
Armenia,Europe,239739,8090.45,3505,118.28,683,4785,161.48,58,1.96,7
Kenya,Africa,232052,431.55,7652,14.23,1258,4600,8.55,222,0.41,36
Qatar,Eastern Mediterranean,231559,8037.3,1644,57.06,216,601,20.86,0,0,0
Bosnia and Herzegovina,Europe,211059,6433.13,2792,85.1,617,9758,297.43,40,1.22,8
Zambia,Africa,205107,1115.68,1938,10.54,130,3586,19.51,30,0.16,3
Mongolia,Western Pacific,199274,6078.6,12742,388.68,2433,913,27.85,24,0.73,6
Algeria,Africa,193171,440.52,3787,8.64,545,5096,11.62,198,0.45,33
Nigeria,Africa,188880,91.63,4287,2.08,637,2288,1.11,52,0.03,7
Kyrgyzstan,Europe,174813,2679.46,1627,24.94,237,2503,38.36,35,0.54,5
North Macedonia,Europe,171576,8235.46,7047,338.25,1164,5755,276.23,166,7.97,28
Puerto Rico,Americas,165899,5798.93,6433,224.86,912,2778,97.1,89,3.11,20
Afghanistan,Eastern Mediterranean,152822,392.57,411,1.06,100,7093,18.22,46,0.12,3
Uzbekistan,Europe,152363,455.23,5904,17.64,846,1050,3.14,48,0.14,7
Norway,Europe,152113,2833.92,6353,118.36,3296,814,15.17,3,0.06,3
Botswana,Africa,150842,6414.37,8462,359.84,0,2171,92.32,128,5.44,0
Mozambique,Africa,144032,460.82,3267,10.45,377,1822,5.83,61,0.2,9
Latvia,Europe,141686,7427.16,1181,61.91,150,2571,134.77,5,0.26,1
Albania,Europe,141365,4912.26,4290,149.07,844,2483,86.28,12,0.42,3
Estonia,Europe,140341,10560.09,2184,164.34,404,1286,96.77,5,0.38,1
Kosovo[1],Europe,134775,7505.57,13956,777.2,2541,2360,131.43,75,4.18,14
Finland,Europe,124285,2249.38,4099,74.19,650,1018,18.42,4,0.07,4
Namibia,Africa,124032,4881.41,1333,52.46,0,3346,131.69,58,2.28,0
Zimbabwe,Africa,123711,832.35,2213,14.89,391,4338,29.19,157,1.06,18
China,Western Pacific,122809,8.35,267,0.02,32,5678,0.39,9,0,1
Ghana,Africa,115525,371.79,3147,10.13,0,982,3.16,37,0.12,0
Cyprus,Europe,112278,12643.85,2180,245.49,257,486,54.73,19,2.14,0
Montenegro,Europe,111736,17790.6,4158,662.04,698,1695,269.88,44,7.01,15
Uganda,Africa,98530,215.41,1236,2.7,137,2968,6.49,51,0.11,6
El Salvador,Americas,94060,1450.15,1925,29.68,1374,2863,44.14,51,0.79,8
Cambodia,Western Pacific,90535,541.51,3345,20.01,428,1835,10.98,105,0.63,14
Rwanda,Africa,84631,653.41,3292,25.42,504,1048,8.09,68,0.53,10
Cameroon,Africa,83425,314.27,971,3.66,971,1350,5.09,12,0.05,12
Maldives,South-East Asia,80328,14860.58,669,123.76,0,225,41.62,3,0.55,0
Luxembourg,Europe,75312,12028.6,457,72.99,96,830,132.56,1,0.16,0
Senegal,Africa,72215,431.29,949,5.67,129,1706,10.19,70,0.42,9
Singapore,Western Pacific,66812,1142.02,478,8.17,120,52,0.89,6,0.1,2
Jamaica,Americas,63831,2155.6,4454,150.41,367,1431,48.33,92,3.11,14
Malawi,Africa,59954,313.4,1093,5.71,167,2111,11.04,99,0.52,13
Democratic Republic of the Congo,Africa,54226,60.55,606,0.68,89,1057,1.18,7,0.01,2
Côte d’Ivoire,Africa,54038,204.86,1455,5.52,251,413,1.57,44,0.17,11
Réunion,Africa,48683,5437.55,1929,215.46,0,332,37.08,22,2.46,0
Australia,Western Pacific,46728,183.25,5965,23.39,995,986,3.87,16,0.06,2
Angola,Africa,46539,141.6,1364,4.15,199,1176,3.58,51,0.16,10
Fiji,Western Pacific,44745,4991.38,2915,325.17,255,459,51.2,46,5.13,6
Trinidad and Tobago,Americas,43344,3097.13,1111,79.39,199,1244,88.89,48,3.43,7
Madagascar,Africa,42850,154.74,18,0.07,3,955,3.45,1,0,0
Eswatini,Africa,41680,3592.6,3650,314.61,451,1042,89.81,81,6.98,9
French Polynesia,Western Pacific,40178,14302.9,5851,2082.89,0,353,125.66,118,42.01,25
Guadeloupe,Americas,37955,9485.81,2672,667.79,0,427,106.72,81,20.24,0
Sudan,Eastern Mediterranean,37698,85.97,82,0.19,36,2791,6.36,7,0.02,7
Malta,Europe,35908,6978.34,392,76.18,42,437,84.93,4,0.78,0
Cabo Verde,Africa,34919,6280.54,390,70.15,94,308,55.4,8,1.44,1
Martinique,Americas,34722,9252.66,1993,531.09,0,291,77.55,38,10.13,0
French Guiana,Americas,33722,11290.27,1078,360.92,270,208,69.64,5,1.67,1
Mauritania,Africa,32486,698.68,1589,34.17,266,684,14.71,31,0.67,3
Guinea,Africa,29022,220.99,714,5.44,97,318,2.42,19,0.14,2
Suriname,Americas,27776,4734.83,974,166.03,202,704,120.01,15,2.56,4
Syrian Arab Republic,Eastern Mediterranean,27221,155.54,742,4.24,106,1985,11.34,43,0.25,4
Gabon,Africa,25762,1157.46,136,6.11,45,165,7.41,0,0,0
Guyana,Americas,24506,3115.62,831,105.65,134,601,76.41,19,2.42,4
Haiti,Americas,20833,182.71,101,0.89,0,584,5.12,1,0.01,0
Togo,Africa,20244,244.53,1639,19.8,281,175,2.11,3,0.04,0
Seychelles,Africa,19806,20138.9,486,494.17,36,102,103.71,4,4.07,4
Mayotte,Africa,19726,7230.54,78,28.59,9,175,64.15,0,0,0
Papua New Guinea,Western Pacific,17975,200.9,123,1.37,10,192,2.15,0,0,0
Bahamas,Americas,17615,4479.41,767,195.04,0,343,87.22,27,6.87,0
Somalia,Eastern Mediterranean,17016,107.06,617,3.88,124,938,5.9,46,0.29,11
Tajikistan,Europe,17007,178.31,281,2.95,0,125,1.31,0,0,0
Belize,Americas,15683,3944.14,575,144.61,127,355,89.28,8,2.01,2
Timor-Leste,South-East Asia,15296,1160.15,1863,141.3,0,52,3.94,11,0.83,0
Curaçao,Americas,15045,9168.58,359,218.78,46,140,85.32,5,3.05,1
Andorra,Europe,15014,19431.83,38,49.18,11,130,168.25,1,1.29,0
Mali,Africa,14796,73.06,81,0.4,17,537,2.65,2,0.01,1
Lesotho,Africa,14388,671.63,25,1.17,6,403,18.81,3,0.14,3
Aruba,Americas,14153,13256.09,642,601.32,93,128,119.89,7,6.56,0
Lao People's Democratic Republic,Western Pacific,13909,191.17,2880,39.58,952,11,0.15,2,0.03,0
Burkina Faso,Africa,13737,65.72,57,0.27,0,171,0.82,0,0,0
Congo,Africa,13533,245.25,135,2.45,40,183,3.32,4,0.07,4
Benin,Africa,12492,103.04,2309,19.05,0,127,1.05,8,0.07,0
Burundi,Africa,11818,99.39,1463,12.3,219,10,0.08,0,0,0
Djibouti,Eastern Mediterranean,11707,1184.92,18,1.82,6,157,15.89,1,0.1,0
South Sudan,Africa,11347,101.37,120,1.07,10,120,1.07,0,0,0
Central African Republic,Africa,11270,233.34,19,0.39,0,99,2.05,0,0,0
Iceland,Europe,10443,2867.9,631,173.29,189,31,8.51,1,0.27,1
Gambia,Africa,9533,394.47,215,8.9,63,311,12.87,34,1.41,10
Guam,Western Pacific,9253,5482.45,473,280.25,0,145,85.91,1,0.59,0
Equatorial Guinea,Africa,9173,653.82,163,11.62,77,123,8.77,0,0,0
Jersey,Europe,9169,8505.88,220,204.09,22,76,70.5,2,1.86,0
Nicaragua,Americas,8867,133.85,371,5.6,0,199,3,1,0.02,0
Mauritius,Africa,8667,681.49,1909,150.11,0,27,2.12,5,0.39,0
Yemen,Eastern Mediterranean,7625,25.56,253,0.85,45,1438,4.82,27,0.09,14
Saint Lucia,Americas,7421,4041.34,843,459.08,147,99,53.91,4,2.18,2
Eritrea,Africa,6635,187.09,24,0.68,3,37,1.04,0,0,0
Isle of Man,Europe,6418,7547.75,349,410.43,52,29,34.1,0,0,0
Sierra Leone,Africa,6358,79.7,12,0.15,1,121,1.52,0,0,0
Niger,Africa,5807,23.99,66,0.27,37,198,0.82,2,0.01,2
United States Virgin Islands,Americas,5684,5443.14,271,259.52,46,51,48.84,10,9.58,2
Guinea-Bissau,Africa,5634,286.28,329,16.72,44,110,5.59,15,0.76,2
Liberia,Africa,5538,109.5,20,0.4,11,245,4.84,0,0,0
Gibraltar,Europe,5308,15754.95,60,178.09,9,96,284.94,0,0,0
San Marino,Europe,5305,15631.45,55,162.06,13,90,265.19,0,0,0
Chad,Africa,4987,30.36,3,0.02,0,174,1.06,0,0,0
Barbados,Americas,4694,1633.41,113,39.32,26,48,16.7,0,0,0
Comoros,Africa,4055,466.31,16,1.84,1,147,16.9,0,0,0
Sint Maarten,Americas,3520,8208.57,293,683.27,48,46,107.27,5,11.66,3
Liechtenstein,Europe,3359,8669.06,41,105.81,0,58,149.69,0,0,0
Monaco,Europe,3163,8059.83,64,163.08,7,35,89.19,0,0,0
Saint Martin,Americas,3147,8140.41,55,142.27,0,17,43.97,-16,-41.39,0
New Zealand,Western Pacific,2871,59.54,273,5.66,68,26,0.54,0,0,0
Bermuda,Americas,2792,4483.48,94,150.95,2,33,52.99,0,0,0
Turks and Caicos Islands,Americas,2616,6756.55,48,123.97,3,20,51.66,1,2.58,0
Bhutan,South-East Asia,2591,335.79,11,1.43,0,3,0.39,0,0,0
British Virgin Islands,Americas,2568,8492.91,7,23.15,0,37,122.37,0,0,0
Sao Tome and Principe,Africa,2555,1165.82,59,26.92,9,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2321,2092.12,1,0.9,1,12,10.82,0,0,0
Brunei Darussalam,Western Pacific,2159,493.51,1213,277.27,176,6,1.37,3,0.69,1
Bonaire,Americas,1745,8343.29,19,90.84,3,17,81.28,0,0,0
Saint Barthélemy,Americas,1553,15710.67,21,212.44,0,1,10.12,0,0,0
Antigua and Barbuda,Americas,1540,1572.57,119,121.52,0,43,43.91,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Dominica,Americas,1339,1859.95,386,536.18,0,1,1.39,0,0,0
Guernsey,Europe,1195,1853.63,72,111.68,15,18,27.92,0,0,0
Faroe Islands,Europe,999,2044.41,6,12.28,0,2,4.09,0,0,0
Saint Kitts and Nevis,Americas,929,1746.5,221,415.48,46,3,5.64,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,669,1017.95,13,19.78,1,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,313,551.33,40,70.46,3,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,232,403.08,11,19.11,3,2,3.47,0,0,0
Grenada,Americas,230,204.4,42,37.33,0,1,0.89,0,0,0
Anguilla,Americas,174,1159.85,37,246.63,8,0,0,0,0,0
New Caledonia,Western Pacific,135,47.29,1,0.35,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,30,517.69,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,25,500.1,2,40.01,0,1,20,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,10,517.33,1,51.73,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Palau,Western Pacific,2,11.05,2,11.05,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
